abil1title,abil1text,abil1img,abil1vid,abil2title,abil2text,abil2img,abil2vid,abil3title,abil3text,abil3img,abil3vid,abil4title,abil4text,abil4img,abil4vid,char_attr_img,char_attr_txt,char_name,char_blurb,char_history,char_type_img,char_type,abil5title,abil5text,abil5img,abil5vid,abil6title,abil6text,abil6img,abil6vid
Echo Stomp ,"CHANNELED - Elder Titan and his Astral Spirit both stomp the ground, damaging and knocking nearby enemy units unconscious around their locations.  The Elder Titan stomp deals physical damage, while the Spirit stomp deals magical damage. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/elder_titan_echo_stomp.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/elder_titan/elder_titan_echo_stomp.webm,Astral Spirit ,"Elder Titan sends forth his Astral Spirit, damaging any units it passes through.  When the spirit rejoins the Titan, it grants bonus damage, armor, and movement speed for each unit it passed through.The Astral Spirit can be controlled and possesses the Echo Stomp, Return Spirit, and Natural Order abilities. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/elder_titan_ancestral_spirit.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/elder_titan/elder_titan_ancestral_spirit.webm,Natural Order ,"Reduces all elements to their basic levels, removing base armor and magic damage resistance from nearby enemy units. The armor reduction is centered around the hero, while the magic armor reduction is centered around Astral Spirit. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/elder_titan_natural_order.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/elder_titan/elder_titan_natural_order.webm,Earth Splitter ,"Sends forth a jagged crack in front of Elder Titan. After 3 seconds, the crack implodes, slowing movement while dealing damage to each enemy based on their maximum life. Half of the damage dealt is Magical damage, while the other half is Physical damage. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/elder_titan_earth_splitter.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/elder_titan/elder_titan_earth_splitter.webm,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/icons/hero_strength.png,Strength,Elder Titan,Damages and disables with his astral spirit,"Well may you ask, ""How did this world take its form?"" Why of all the worlds in creation, has this one its strange properties, its diverse and motley collection of creatures, cultures and lore? ""The answer,"" One whispers, ""lies with the Titans.""				These original progenitors were there near the Beginning--if not actual witnesses to the creation, then born with it still echoing in their ears. Stamped with the earliest energies of the universe, they wished nothing more than to continue as creators themselves. Thus they bent to the task of shaping matter to their will: hammering and heating, bending and blasting. And when matter proved less challenging than they liked, they turned their tools upon themselves, reshaping their minds and reforging their spirits until they had become beings of great endurance. Reality itself became the ultimate object of their smithing. Yet, along the way, they sometimes erred. In cases of great ambition, mistakes are unavoidable.				The one we know as the Elder Titan was a great innovator, one who studied at the forge of creation. In honing his skills, he shattered something that could never be repaired, only thrown aside. He fell into his own broken world, a shattered soul himself. There he dwelt among the jagged shards and fissured planes, along with other lost fragments that had sifted down through the cracks in the early universe. And this is why the world we know resembles an isle of castaways, survivors of a wreck now long forgotten. Forgotten, that is, by all but the One who blames himself. He spends his time forever seeking a way to accomplish the repairs, that he might rejoin the parts of his broken soul, that we and the world alike might all be mended. This is the One we know as Elder Titan.Close History",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/icons/melee.svg,Melee,,,,,,,,
Searing Chains ,"Ember Spirit unleashes fiery bolas that wrap around nearby enemies, anchoring them in place and dealing damage each second. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/ember_spirit_searing_chains.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/ember_spirit/ember_spirit_searing_chains.webm,Sleight of Fist ,"Ember Spirit dashes around with blazing speed, attacking all enemies in the targeted area of effect, then returning to his start location.  Deals bonus damage to heroes. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/ember_spirit_sleight_of_fist.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/ember_spirit/ember_spirit_sleight_of_fist.webm,Flame Guard ,"Ember Spirit surrounds himself with a ring of fire that creates a magic damage barrier, absorbing a percentage of the damage taken.  Flame Guard deals damage per second in an area around Ember Spirit while Flame Guard is active.  If the barrier is broken, the damage is also lost. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/ember_spirit_flame_guard.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/ember_spirit/ember_spirit_flame_guard.webm,Activate Fire Remnant ,Select the Fire Remnant to arrive at. ,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/ember_spirit_activate_fire_remnant.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/ember_spirit/ember_spirit_activate_fire_remnant.webm,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/icons/hero_agility.png,Agility,Ember Spirit,Rapidly strikes and chains his foes,"Lost within the Wailing Mountains, the Fortress of Flares lay abandoned, its training halls empty, its courtyard covered in leaves and dust. Upon a dais in its sealed temple rests a topaz cauldron filled with ancient ash, remnants of a pyre for the warrior-poet Xin. For three generations, Xin taught his acolytes the Bonds of the Guardian Flame, a series of mantras to train the mind and body for the harsh realities beyond the fortress walls.				However, in teaching a warrior's way he earned a warrior's rivals, and in his autumn Xin was bested and slain. His followers spread to the wind. Yet as years turned to centuries and followers to descendants, his teachings endured by subtle whisper and deed. Touched by the teacher's lasting legacy, the Burning Celestial, inquisitive aspect of fire, cast himself to the Fortress of Flares and reignited the pyre ash. From these glowing embers emerged an image of Xin, wreathed in flame, his thoughtful countenance prepared to train and to teach, and to spread the fires of knowledge to all who seek guidance.Close History",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/icons/melee.svg,Melee,Fire Remnant ,"Sends a Fire Remnant that runs to the target location at 250% Ember Spirit's speed.  Using Activate Fire Remnant, Ember Spirit will dash out to all active Fire Remnants, destroying them and dealing damage in an area and then moving to the nearest Remnant.  Ember Spirit will end at the Remnant closest to the targeted location. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/ember_spirit_fire_remnant.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/ember_spirit/ember_spirit_fire_remnant.webm,,,,
Impetus ,"Places an enchantment on each attack while activated, causing it to deal additional damage based on how far away the target is.  The farther the target, the greater the damage dealt. Deals double damage to creeps and illusions. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/enchantress_impetus.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/enchantress/enchantress_impetus.webm,Enchant ,"Enchantress charms an enemy. If the enemy is a hero, they are slowed and damaged for 5s. If the enemy is a creep, she brings it under her control, increasing its attack damage and max health. Enchantress can control up to 1 creeps at a time for up to 30s. DISPEL TYPE: Basic Dispel ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/enchantress_enchant.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/enchantress/enchantress_enchant.webm,Nature's Attendants ,A cloud of wisps heals Enchantress and any friendly units nearby. Lasts 9 seconds. ,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/enchantress_natures_attendants.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/enchantress/enchantress_natures_attendants.webm,Untouchable ,"Enchantress beguiles her enemies, slowing their attacks when she is attacked. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/enchantress_untouchable.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/enchantress/enchantress_untouchable.webm,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/icons/hero_intelligence.png,Intelligence,Enchantress,Enchants neutral creeps to do her bidding,"Aiushtha appears to be an innocent, carefree creature of the woods, and while this is certainly true, it is hardly the sum of her story. She well understands the suffering of the natural world. She has wandered far, and fared through forests bright and drear, in every clime and every season, gathering friends, sharing news, bringing laughter and healing wherever she goes. For in worlds wracked by war, forests are leveled for the building of ships and siege engines; and even in places of peace, the woods are stripped for the building of homes, and as fuel for countless hearths.				Aiushtha hears the pleas of the small creatures, the furtive folk who need green shade and a leafy canopy to thrive. She lends her ears to those who have no other listeners. She carries their stories from the wood to the world, believing that her own good cheer is a kind of Enchantment, that can itself fulfill the promise of a verdant future.Close History",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/icons/ranged.svg,Ranged,,,,,,,,
Malefice ,"Focuses Enigma's power on a target, causing it to take damage and become repeatedly stunned for multiple instances.  An instance strikes every 2 seconds. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/enigma_malefice.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/enigma/enigma_malefice.webm,Demonic Summoning ,"Summons three fragments of Enigma himself at the cost of health.  The eidolons health is increased by 4% of Enigma's current health. These eidolons are all under Enigma's control, and repeated successful attacks cause them to multiply.  When this happens, the eidolons have their health restored. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/enigma_demonic_conversion.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/enigma/enigma_demonic_conversion.webm,Midnight Pulse ,"Steeps an area in dark resonance, dealing 5 + a percentage of the enemies current HP as damage. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/enigma_midnight_pulse.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/enigma/enigma_midnight_pulse.webm,Black Hole ,"CHANNELED - Summons a vortex that sucks in nearby enemy units.  Enemies affected by Black Hole cannot move, attack, or cast spells. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/enigma_black_hole.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/enigma/enigma_black_hole.webm,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/icons/hero_universal.png,Universal,Enigma,Traps and damages enemies in a black hole,"Nothing is known of Enigma's background. There are only stories and legends, most of them apocryphal, passed down through the ages. In truth, Enigma is a mystery for whom the only true biography is description: he is a universal force, a consumer of worlds. He is a being of the void, at times corporeal, other times ethereal. A beast between the planes. 				There are stories that say he was once a great alchemist who tried to unlock the secrets of the universe and was cursed for his arrogance. Other legends tell that he is an ancient being of strange gravity, the abyss personified--a twisted voice from out the original darkness, before the first light in the universe. And there are older legends that say he is the first collapsed star, a black hole grown complicated and sentient--his motivations unknowable, his power inexorable, a force of destruction unleashed upon existence itself.Close History",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/icons/ranged.svg,Ranged,,,,,,,,
Time Walk ,Rushes to a target location while backtracking any damage taken the last 2 seconds. ,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/faceless_void_time_walk.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/faceless_void/faceless_void_time_walk.webm,Time Dilation ,"Faceless Void traps all nearby enemies in a time dilation field for 8 seconds, extending their cooldowns and slowing their movement and attack speed by 7% for each cooldown extended. Deals bonus damage per second for each cooldown. The debuff does not tick down while inside Chronosphere. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/faceless_void_time_dilation.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/faceless_void/faceless_void_time_dilation.webm,Time Lock ,Adds the chance for an attack to lock an enemy unit in time while attacking it a second time. ,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/faceless_void_time_lock.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/faceless_void/faceless_void_time_lock.webm,Chronosphere ,"Creates a blister in spacetime, trapping all units caught in its sphere of influence and causes you to move very quickly inside it.  All ability and item cooldowns are frozen. Only Faceless Void and any units he controls are unaffected.  Invisible enemies in the sphere will be revealed. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/faceless_void_chronosphere.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/faceless_void/faceless_void_chronosphere.webm,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/icons/hero_agility.png,Agility,Faceless Void,Can freeze his enemies in time,"Darkterror the Faceless Void is a visitor from Claszureme, a realm outside of time. It remains a mystery why this being from another dimension believes the struggle for the Nemesis Stones is worth entering our physical plane, but apparently an upset in the balance of power in this world has repercussions in adjacent dimensions. Time means nothing to Darkterror, except as a way to thwart his foes and aid his allies. His long-view of the cosmos has given him a remote, disconnected quality, although in battle he is quite capable of making it personal.Close History",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/icons/melee.svg,Melee,,,,,,,,
Stroke of Fate ,"Grimstroke paints a path of ink with his brush, damaging and slowing enemies. The damage is increased with each enemy the ink hits. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/grimstroke_dark_artistry.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/grimstroke/grimstroke_dark_artistry.webm,Phantom's Embrace ,"Summons a phantom that moves quickly towards the target, latching to it when she arrives. Once latched, the phantom damages and silences. If she survives the full latch duration she rends her victim for heavy damage and refreshes Phantom's Embrace's cooldown.Hero attacks against the phantom count as 3 attacks each. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/grimstroke_ink_creature.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/grimstroke/grimstroke_ink_creature.webm,Ink Swell ,"Grimstroke shrouds an allied unit in ink, increasing its movement speed. Enemies in range of the allied unit are damaged with inky tendrils over time. After 5 seconds, or when manually triggered, it applies damage and stun in an area around the unit in proportion to how long ink tendril was near any hero. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/grimstroke_spirit_walk.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/grimstroke/grimstroke_spirit_walk.webm,Soulbind ,"Binds a targeted enemy hero to its nearest allied hero within the bind radius, preventing both from moving away from each other. Any unit-targeted ability that either bound hero receives also gets cast on the other hero. If the bind is broken before the duration expires, the initial target will be bound to its nearest allied hero in the radius. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/grimstroke_soul_chain.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/grimstroke/grimstroke_soul_chain.webm,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/icons/hero_intelligence.png,Intelligence,Grimstroke,Disables enemies with a swipe of his brush,"The people of Ashkavor crowded around the temple square, eager to witness the ascension of their new guardian -- to stand near the man as he bound their souls to his own. But as his final brush strokes fell against the runestone, and the bond of a new Ascended One was forged, everyone -- even those who'd stayed in their homes -- could sense that something had gone terribly wrong.He knew the cause instantly. The droplets of ichor he'd procured to amplify the potency of his inkpots had instead contaminated them, and the power of the binding spell he'd cast now threatened to consume him. An inky corruption snaked upward from the runestone, along the handle of his brush, soon overtaking his hands. From there it spread quickly. Once it overcame his face and his mouth, he couldn't have screamed even if he'd wanted to.All of his life he'd calculated on how to attain ever greater powers than the limits presented by his teachers would allow--going so far as to break the sacred prohibition against augmenting the inks. Indeed, with the wellspring of the Ascended bond open to him, he felt a measure of power coursing into his soul like he'd never imagined. His greatest triumph was upon him, if he could only survive it.He drew deep from the power of the bond, pushing back against the corrupted ink flow. A great moan filled the air -- the collective cry of his people. Some swayed on their feet. The weakest collapsed. Many tried to run. And still deeper he pulled from their bloodline reservoir. But it wasn't enough to stop the ink tide.It was only when the breath trapped in his lungs began to fail him, and the inkpool darkness fully encased him, that he saw his way out. The bond he'd made with the Ashkavoran people -- his people -- meant to be drawn upon only in service of their protection... It flowed two ways.With a final surge of strength -- this time directed by more than just blind repulsion -- he pushed the ink torrent into the bond itself.Slowly, he felt the tide retreat... and heard the awful wails of his people as the corruption in turn rolled over them. When at last the ink relented, his eyes opened upon a world changed. The Ashkavoran people as he knew them were gone. Every last soul was transformed into terrifying shades of their former selves -- comprised no longer of blood and bone, only viscid, tainted ink.Close History",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/icons/ranged.svg,Ranged,,,,,,,,
Rocket Barrage ,Launches a salvo of rockets at nearby enemy units in a radius around the Gyrocopter. Gyrocopter has increased resistance to slows during this time.  Lasts 3 seconds. ,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/gyrocopter_rocket_barrage.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/gyrocopter/gyrocopter_rocket_barrage.webm,Homing Missile ,"Fires a homing missile to seek the targeted enemy unit. The missile gains speed over time, dealing damage and stunning when it impacts the target. Enemy units can destroy the missile before it reaches its target. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/gyrocopter_homing_missile.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/gyrocopter/gyrocopter_homing_missile.webm,Flak Cannon ,Gyrocopter's attacks hit all enemy units in an area around it for a limited number of attacks.  Only the main target of attacks will receive attack bonuses such as Critical Strike.  Lasts 12 seconds or until the attacks are used. ,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/gyrocopter_flak_cannon.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/gyrocopter/gyrocopter_flak_cannon.webm,Call Down ,Call down 3 aerial missile strikes that slow and damage enemy units in a target area. Each strike is 500 distance from the previous one and is delayed by 1s ,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/gyrocopter_call_down.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/gyrocopter/gyrocopter_call_down.webm,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/icons/hero_agility.png,Agility,Gyrocopter,Barrages with his cannon and homing missiles,"After serving through a lifetime of wars, upheaval, riots, and revolutions, the brass figured Aurel had seen enough. But in addition to a few trinkets and his considerable pension, the erstwhile engineer left with something far more interesting: a long-forgotten, incomplete schematic for a Gyrocopter, the world's first manned, non-magical flying device. Retiring to the tropical obscurity of the Ash Archipelago with little else but time and money, he set to work building the device.				As the years wore on and the remains of failed prototypes began to pile up, he began to wonder if mechanical flight was even possible. A decade and a day after his retirement, on a sunny afternoon with a southerly breeze, Aurel sat in his latest attempt bristling with indignation and expectant failure. With a grunt of effort he pulled the ignition cord and covered his head, waiting for the inevitable explosion. However to his great surprise he began to lift and, following a few panicked adjustments, stabilize. Within an hour, he was ducking and weaving with the breeze, level with the gulls, and Aurel found himself filled with the breathless wonder of flight.				As dusk settled in he set a course back to his workshop, but no sooner had he turned his craft when a cannonball tore through his tailfin. Disentangling himself from the wreckage, he swam toward the nearest piece of land in sight, and cursed to see the ship responsible for the cannonball collecting the debris. Days later, when Aurel returned to his workshop, he set to work on yet another gyrocopter, this one capable of carrying a much heavier, more dangerous payload.Close History",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/icons/ranged.svg,Ranged,,,,,,,,
Acorn Shot ,"Fires Hoodwink's attack with an acorn at the target unit.  The acorn bounces to nearby targets, slowing them and dealing a percentage of Hoodwink's attack with bonus damage.If point targeted, a tree is created at the target position and the acorn will bounce to nearby targets.  The ability may be placed on alt-cast to force this behavior. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/hoodwink_acorn_shot.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/hoodwink/hoodwink_acorn_shot.webm,Bushwhack ,"Tosses a net trap that stuns enemies if they are near a tree in the area.  Affected enemies take damage over time and are pulled towards the tree nearest to them within the target area, and have their vision reduced to 0 for the duration of the stun. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/hoodwink_bushwhack.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/hoodwink/hoodwink_bushwhack.webm,Scurry ,"Hoodwink passively has a chance to evade physical attacks while near trees.  When activated, Hoodwink gains bonus movement speed, attack and cast range, phased movement, and tree-walking for a brief time. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/hoodwink_scurry.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/hoodwink/hoodwink_scurry.webm,Sharpshooter ,"Hoodwink charges up and fires a deadly bolt from her crossbow, dealing heavy damage, break and slow to an enemy Hero.  The damage and debuff duration scale up to max after 3 seconds, and the bolt is fired automatically after 5 seconds.Hoodwink is knocked backwards for a distance of 350 from the force of the shot. Creeps hit by the bolt are damaged for half the values. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/hoodwink_sharpshooter.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/hoodwink/hoodwink_sharpshooter.webm,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/icons/hero_agility.png,Agility,Hoodwink,Shackles her enemies to trees,"Hoodwink's earliest years were spent in the idyllic expanse of green that once filled the edges of Krimwohl. But as that kingdom grew, and the needs of both her citizens and her armies became ravenous, rival ore and timber barons scratched and clawed to outpace each other in devouring the natural beauty of the border forests, gorging themselves to meet the demands of the changing land.To those living in the ancient timberlands, the choice came down to following the line of refugees into the pacified zones, falling to Krimwohl's black powder and steel while defending their homes, or fleeing further north to tempt fate in the haunted glens and groves of the misty Wood Tomo'kan.So it was in those treacherous northern mistwoods that Hoodwink came of age, dodging the horrific predators of the Tomo'kan, ingratiating herself with some of the local banditry whilst antagonizing others, and finding absolutely every which way to be underfoot whenever some interesting mischief arose--often allegedly the cause of it.But when the faintest whiff of Krimwohl's fires eventually drifted into her adopted home, Hoodwink's thoughts turned to any family and friends who might have survived the invasion--now made to eke out lives in the razed lands whose wounds scarred her very soul--and she couldn't help but approach the edges of civilization to get a glimpse of the devils that had destroyed her old life.There, she saw that the monsters from her childhood weren't monsters at all. They were just...people. Soldiers, laborers, merchants...and refugees. And the soldiers, even with their black powder and steel, were nothing compared to the dangers of the Tomo'kan--real dangers with tentacles and teeth--dangers she danced around like a twirling maple seed.Knowing she can always find safe passage in the tangles of the Tomo'kan, where most warm-blooded folk wisely fear to tread, Hoodwink now strikes out against those who dare try to further pacify the wilds, happily taking what she likes from their belongings, destroying what she has no use for, and helping guide any kindred survivors back to a life in the green once again.Close History",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/icons/ranged.svg,Ranged,,,,,,,,
Inner Fire ,"In a fiery rage, knocks all nearby enemies away from you to a fixed distance, dealing damage and disarming them. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/huskar_inner_fire.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/huskar/huskar_inner_fire.webm,Burning Spear ,"Huskar sets his spears aflame, dealing damage over time with his regular attack.  Multiple attacks will stack additional damage.  Each attack drains some of Huskar's health. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/huskar_burning_spear.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/huskar/huskar_burning_spear.webm,Berserker's Blood ,"Huskar's injuries feed his power, giving increased attack speed, magic resistance and health regen based on missing health. Health regen is a percentage of your strength. ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/huskar_berserkers_blood.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/huskar/huskar_berserkers_blood.webm,Life Break ,"Huskar draws upon his health to break an enemy's life, leaping at a target to shatter a percentage of that hero's current health and slow both their movement and attack speed.  While leaping, Huskar is Debuff Immune and has 50% increases magic resistance.DISPEL TYPE: Basic Dispel ",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/huskar_life_break.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/huskar/huskar_life_break.webm,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/icons/hero_strength.png,Strength,Huskar,Sacrifices his health to deal more damage,"Emerging from the throes of the sacred Nothl Realm, Huskar opened his eyes to see the prodigal shadow priest Dazzle working a deep incantation over him. Against the ancient rites of the Dezun Order, Huskar's spirit had been saved from eternity, but like all who encounter the Nothl he found himself irrevocably changed. No longer at the mercy of a mortal body, his very lifeblood became a source of incredible power; every drop spilled was returned tenfold with a fierce, burning energy. However this newfound gift infuriated Huskar, for in his rescue from the Nothl, Dazzle had denied him a place among the gods. He had been denied his own holy sacrifice.				In time the elders of the order sought to expand their influence and Huskar, they agreed, would be a formidable tool in their campaign. Yet becoming a mere weapon for the order that denied him his birthright only upset him further. As the first embers of war appeared on the horizon, he fled his ancestral home to find new allies, all the while seeking a cause worthy of unleashing the power his total sacrifice could bring.Close History",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/icons/ranged.svg,Ranged,,,,,,,,
Quas ,Allows manipulation of ice elements. Passively grants +1 Strength per level. Each Quas instance imbues Invoker's spells with Spell Lifesteal. ,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/invoker_quas.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/invoker/invoker_quas.webm,Wex ,Allows manipulation of storm elements. Passively grants +1 Agility per level. Each Wex instance provides increased cooldown reduction and movement speed. ,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/invoker_wex.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/invoker/invoker_wex.webm,Exort ,Allows manipulation of fire elements. Passively grants +1 Intelligence per level. Each Exort instance imbues Invoker's spells with Spell Amplification. ,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/invoker_exort.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/invoker/invoker_exort.webm,Invoke ,Combines the properties of the elements currently being manipulated to create a new spell for Invoker to use. Invoke cooldown is reduced by 0.3 seconds for each orb level.  Click the help button to see the list of possible spells. ,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/abilities/invoker_invoke.png,https://cdn.cloudflare.steamstatic.com/apps/dota2/videos/dota_react/abilities/invoker/invoker_invoke.webm,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/icons/hero_universal.png,Universal,Invoker,Weaves magic with an array of spell combos,"In its earliest, and some would say most potent form, magic was primarily the art of memory. It required no technology, no wands or appurtenances other than the mind of the magician. All the trappings of ritual were merely mnemonic devices, meant to allow the practitioner to recall in rich detail the specific mental formulae that unlocked a spell's power.				The greatest mages in those days were the ones blessed with the greatest memories, and yet so complex were the invocations that all wizards were forced to specialize. The most devoted might hope in a lifetime to have adequate recollection of three spells--four at most. Ordinary wizards were content to know two, and it was not uncommon for a village mage to know only one--with even that requiring him to consult grimoires as an aid against forgetfulness on the rare occasions when he might be called to use it.				But among these early practitioners there was one exception, a genius of vast intellect and prodigious memory who came to be known as the Invoker. In his youth, the precocious wizard mastered not four, not five, not even seven incantations: He could command no fewer than ten spells, and cast them instantly. Many more he learned but found useless, and would practice once then purge from his mind forever, to make room for more practical invocations. One such spell was the Sempiternal Cantrap--a longevity spell of such power that those who cast it in the world's first days are among us still (unless they have been crushed to atoms).				Most of these quasi-immortals live quietly, afraid to admit their secret: But Invoker is not one to keep his gifts hidden. He is ancient, learned beyond all others, and his mind somehow still has space to contain an immense sense of his own worth...as well as the Invocations with which he amuses himself through the long slow twilight of the world's dying days.Close History",https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/icons/ranged.svg,Ranged,,,,,,,,
