name,price,img_url
Blade of Alacrity,1000,https://static.wikia.nocookie.net/dota2_gamepedia/images/a/a2/Blade_of_Alacrity_icon.png
Diadem,1000,https://static.wikia.nocookie.net/dota2_gamepedia/images/8/87/Diadem_icon.png
Ogre Axe,1000,https://static.wikia.nocookie.net/dota2_gamepedia/images/d/dd/Ogre_Axe_icon.png
Staff of Wizardry,1000,https://static.wikia.nocookie.net/dota2_gamepedia/images/8/8a/Staff_of_Wizardry_icon.png
Quelling Blade,100,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/94/Quelling_Blade_icon.png
Ring of Protection,175,https://static.wikia.nocookie.net/dota2_gamepedia/images/3/3b/Ring_of_Protection_icon.png
Infused Raindrops,225,https://static.wikia.nocookie.net/dota2_gamepedia/images/d/d2/Infused_Raindrops_icon.png
Orb of Venom,250,https://static.wikia.nocookie.net/dota2_gamepedia/images/3/35/Orb_of_Venom_icon.png
Blight Stone,300,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/98/Blight_Stone_icon.png
Blades of Attack,450,https://static.wikia.nocookie.net/dota2_gamepedia/images/e/ed/Blades_of_Attack_icon.png
Gloves of Haste,450,https://static.wikia.nocookie.net/dota2_gamepedia/images/1/16/Gloves_of_Haste_icon.png
Chainmail,550,https://static.wikia.nocookie.net/dota2_gamepedia/images/f/f2/Chainmail_icon.png
Javelin,900,https://static.wikia.nocookie.net/dota2_gamepedia/images/e/ed/Javelin_icon.png
Helm of Iron Will,975,https://static.wikia.nocookie.net/dota2_gamepedia/images/f/f6/Helm_of_Iron_Will_icon.png
Blitz Knuckles,1000,https://static.wikia.nocookie.net/dota2_gamepedia/images/8/8c/Blitz_Knuckles_icon.png
Broadsword,1000,https://static.wikia.nocookie.net/dota2_gamepedia/images/3/3e/Broadsword_icon.png
Claymore,1350,https://static.wikia.nocookie.net/dota2_gamepedia/images/4/49/Claymore_icon.png
Mithril Hammer,1600,https://static.wikia.nocookie.net/dota2_gamepedia/images/d/d5/Mithril_Hammer_icon.png
Ring of Regen,175,https://static.wikia.nocookie.net/dota2_gamepedia/images/6/6d/Ring_of_Regen_icon.png
Sage's Mask,175,https://static.wikia.nocookie.net/dota2_gamepedia/images/c/c6/Sage%27s_Mask_icon.png
Fluffy Hat,250,https://static.wikia.nocookie.net/dota2_gamepedia/images/b/b5/Fluffy_Hat_icon.png
Wind Lace,250,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/91/Wind_Lace_icon.png
Regular Stick,322,https://static.wikia.nocookie.net/dota2_gamepedia/images/5/59/Magic_Stick_icon.png
Boots of Speed,500,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/97/Boots_of_Speed_icon.png
Ring of Health,700,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/29/Ring_of_Health_icon.png
Voodoo Mask,700,https://static.wikia.nocookie.net/dota2_gamepedia/images/6/60/Voodoo_Mask_icon.png
Cloak,800,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/21/Cloak_icon.png
Gem of True Sight,900,https://static.wikia.nocookie.net/dota2_gamepedia/images/1/1d/Gem_of_True_Sight_icon.png
Morbid Mask,900,https://static.wikia.nocookie.net/dota2_gamepedia/images/7/76/Morbid_Mask_icon.png
Shadow Amulet,1000,https://static.wikia.nocookie.net/dota2_gamepedia/images/0/07/Shadow_Amulet_icon.png
Ghost Scepter,1500,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/9d/Ghost_Scepter_icon.png
Ring of Tarrasque,1800,https://static.wikia.nocookie.net/dota2_gamepedia/images/7/78/Ring_of_Tarrasque_icon.png
Tiara of Selemene,1800,https://static.wikia.nocookie.net/dota2_gamepedia/images/e/e1/Tiara_of_Selemene_icon.png
Blink Dagger,2250,https://static.wikia.nocookie.net/dota2_gamepedia/images/4/4c/Blink_Dagger_icon.png
Energy Booster,800,https://static.wikia.nocookie.net/dota2_gamepedia/images/7/72/Energy_Booster_icon.png
Vitality Booster,1000,https://static.wikia.nocookie.net/dota2_gamepedia/images/1/1c/Vitality_Booster_icon.png
Cornucopia,1200,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/20/Cornucopia_icon.png
Point Booster,1200,https://static.wikia.nocookie.net/dota2_gamepedia/images/5/57/Point_Booster_icon.png
Talisman of Evasion,1300,https://static.wikia.nocookie.net/dota2_gamepedia/images/3/37/Talisman_of_Evasion_icon.png
Platemail,1400,https://static.wikia.nocookie.net/dota2_gamepedia/images/4/4f/Platemail_icon.png
Hyperstone,2000,https://static.wikia.nocookie.net/dota2_gamepedia/images/6/6a/Hyperstone_icon.png
Demon Edge,2200,https://static.wikia.nocookie.net/dota2_gamepedia/images/b/ba/Demon_Edge_icon.png
Eaglesong,2800,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/9a/Eaglesong_icon.png
Mystic Staff,2800,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/29/Mystic_Staff_icon.png
Reaver,2800,https://static.wikia.nocookie.net/dota2_gamepedia/images/3/37/Reaver_icon.png
Ultimate Orb,2800,https://static.wikia.nocookie.net/dota2_gamepedia/images/1/14/Ultimate_Orb_icon.png
Sacred Relic,3400,https://static.wikia.nocookie.net/dota2_gamepedia/images/7/7c/Sacred_Relic_icon.png
Magic Wand,450,https://static.wikia.nocookie.net/dota2_gamepedia/images/7/74/Magic_Wand_icon.png
Bracer,505,https://static.wikia.nocookie.net/dota2_gamepedia/images/6/6e/Bracer_icon.png
Null Talisman,505,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/90/Null_Talisman_icon.png
Wraith Band,505,https://static.wikia.nocookie.net/dota2_gamepedia/images/5/55/Wraith_Band_icon.png
Soul Ring,805,https://static.wikia.nocookie.net/dota2_gamepedia/images/a/a6/Soul_Ring_icon.png
Orb of Corrosion,900,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/97/Orb_of_Corrosion_icon.png
Falcon Blade,1125,https://static.wikia.nocookie.net/dota2_gamepedia/images/4/4a/Falcon_Blade_icon.png
Perseverance,1400,https://static.wikia.nocookie.net/dota2_gamepedia/images/f/fb/Perseverance_icon.png
Power Treads,1400,https://static.wikia.nocookie.net/dota2_gamepedia/images/6/6b/Power_Treads_icon.png
Phase Boots,1500,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/98/Phase_Boots_icon.png
Oblivion Staff,1625,https://static.wikia.nocookie.net/dota2_gamepedia/images/7/7b/Oblivion_Staff_icon.png
Mask of Madness,1900,https://static.wikia.nocookie.net/dota2_gamepedia/images/7/76/Mask_of_Madness_icon.png
Hand of Midas,2200,https://static.wikia.nocookie.net/dota2_gamepedia/images/5/5b/Hand_of_Midas_icon.png
Boots of Travel,2500,https://static.wikia.nocookie.net/dota2_gamepedia/images/6/6d/Boots_of_Travel_1_icon.png
Helm of the Dominator,2625,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/97/Helm_of_the_Dominator_icon.png
Moon Shard,4000,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/21/Moon_Shard_icon.png
Helm of the Overlord,5725,https://static.wikia.nocookie.net/dota2_gamepedia/images/f/f8/Helm_of_the_Overlord_icon.png
Buckler,425,https://static.wikia.nocookie.net/dota2_gamepedia/images/a/ae/Buckler_%28Inactive%29_icon.png
Headdress,425,https://static.wikia.nocookie.net/dota2_gamepedia/images/0/03/Headdress_icon.png
Ring of Basilius,425,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/26/Ring_of_Basilius_%28Active%29_icon.png
Urn of Shadows,880,https://static.wikia.nocookie.net/dota2_gamepedia/images/5/58/Urn_of_Shadows_icon.png
Tranquil Boots,925,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/23/Tranquil_Boots_%28Active%29_icon.png
Arcane Boots,1300,https://static.wikia.nocookie.net/dota2_gamepedia/images/b/be/Arcane_Boots_icon.png
Pavise,1400,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/2f/Pavise_icon.png
Drum of Endurance,1650,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/91/Drum_of_Endurance_icon.png
Mekansm,1775,https://static.wikia.nocookie.net/dota2_gamepedia/images/f/f7/Mekansm_icon.png
Vladmir's Offering,2200,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/28/Vladmir%27s_Offering_icon.png
Holy Locket,2350,https://static.wikia.nocookie.net/dota2_gamepedia/images/4/48/Holy_Locket_icon.png
Spirit Vessel,2780,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/2a/Spirit_Vessel_icon.png
Pipe of Insight,3725,https://static.wikia.nocookie.net/dota2_gamepedia/images/7/76/Pipe_of_Insight_icon.png
Boots of Bearing,4275,https://static.wikia.nocookie.net/dota2_gamepedia/images/e/e9/Boots_of_Bearing_icon.png
Guardian Greaves,4950,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/94/Guardian_Greaves_icon.png
Parasma,5975,https://static.wikia.nocookie.net/dota2_gamepedia/images/6/6e/Parasma_icon.png
Vanguard,1700,https://static.wikia.nocookie.net/dota2_gamepedia/images/a/ab/Vanguard_icon.png
Blade Mail,2100,https://static.wikia.nocookie.net/dota2_gamepedia/images/1/18/Blade_Mail_icon.png
Aeon Disk,3000,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/2b/Aeon_Disk_icon.png
Soul Booster,3000,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/2f/Soul_Booster_icon.png
Eternal Shroud,3600,https://static.wikia.nocookie.net/dota2_gamepedia/images/c/c5/Eternal_Shroud_icon.png
Crimson Guard,3725,https://static.wikia.nocookie.net/dota2_gamepedia/images/7/70/Crimson_Guard_icon.png
Lotus Orb,3850,https://static.wikia.nocookie.net/dota2_gamepedia/images/c/c8/Lotus_Orb_icon.png
Black King Bar,4050,https://static.wikia.nocookie.net/dota2_gamepedia/images/7/72/Black_King_Bar_icon.png
Bloodstone,4400,https://static.wikia.nocookie.net/dota2_gamepedia/images/5/5a/Bloodstone_icon.png
Hurricane Pike,4450,https://static.wikia.nocookie.net/dota2_gamepedia/images/1/13/Hurricane_Pike_icon.png
Manta Style,4550,https://static.wikia.nocookie.net/dota2_gamepedia/images/8/84/Manta_Style_icon.png
Linken's Sphere,4800,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/23/Linken%27s_Sphere_icon.png
Assault Cuirass,5125,https://static.wikia.nocookie.net/dota2_gamepedia/images/d/d3/Assault_Cuirass_icon.png
Shiva's Guard,5175,https://static.wikia.nocookie.net/dota2_gamepedia/images/b/b6/Shiva%27s_Guard_icon.png
Heart of Tarrasque,5200,https://static.wikia.nocookie.net/dota2_gamepedia/images/7/75/Heart_of_Tarrasque_icon.png
Crystalys,2000,https://static.wikia.nocookie.net/dota2_gamepedia/images/3/3f/Crystalys_icon.png
Armlet of Mordiggian,2500,https://static.wikia.nocookie.net/dota2_gamepedia/images/8/8d/Armlet_of_Mordiggian_%28Inactive%29_icon.png
Meteor Hammer,2850,https://static.wikia.nocookie.net/dota2_gamepedia/images/5/54/Meteor_Hammer_icon.png
Skull Basher,2875,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/9d/Skull_Basher_icon.png
Shadow Blade,3000,https://static.wikia.nocookie.net/dota2_gamepedia/images/0/0f/Shadow_Blade_icon.png
Desolator,3500,https://static.wikia.nocookie.net/dota2_gamepedia/images/8/84/Desolator_icon.png
Battle Fury,4100,https://static.wikia.nocookie.net/dota2_gamepedia/images/c/c1/Battle_Fury_icon.png
Nullifier,4375,https://static.wikia.nocookie.net/dota2_gamepedia/images/b/bc/Nullifier_icon.png
Monkey King Bar,4700,https://static.wikia.nocookie.net/dota2_gamepedia/images/b/b0/Monkey_King_Bar_icon.png
Radiance,4700,https://static.wikia.nocookie.net/dota2_gamepedia/images/d/df/Radiance_%28Active%29_icon.png
Revenant's Brooch,4900,https://static.wikia.nocookie.net/dota2_gamepedia/images/3/37/Revenant%27s_Brooch_icon.png
Khanda,5000,https://static.wikia.nocookie.net/dota2_gamepedia/images/6/67/Khanda_icon.png
Daedalus,5100,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/24/Daedalus_icon.png
Ethereal Blade,5375,https://static.wikia.nocookie.net/dota2_gamepedia/images/5/5b/Ethereal_Blade_icon.png
Butterfly,5450,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/28/Butterfly_icon.png
Silver Edge,5450,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/91/Silver_Edge_icon.png
Divine Rapier,5600,https://static.wikia.nocookie.net/dota2_gamepedia/images/b/b1/Divine_Rapier_icon.png
Disperser,6100,https://static.wikia.nocookie.net/dota2_gamepedia/images/6/65/Disperser_icon.png
Abyssal Blade,6250,https://static.wikia.nocookie.net/dota2_gamepedia/images/3/3b/Abyssal_Blade_icon.png
Bloodthorn,6625,https://static.wikia.nocookie.net/dota2_gamepedia/images/f/f4/Bloodthorn_icon.png
Dragon Lance,1900,https://static.wikia.nocookie.net/dota2_gamepedia/images/d/db/Dragon_Lance_icon.png
Kaya,2000,https://static.wikia.nocookie.net/dota2_gamepedia/images/6/65/Kaya_icon.png
Sange,2000,https://static.wikia.nocookie.net/dota2_gamepedia/images/f/fc/Sange_icon.png
Yasha,2000,https://static.wikia.nocookie.net/dota2_gamepedia/images/d/d1/Yasha_icon.png
Phylactery,2400,https://static.wikia.nocookie.net/dota2_gamepedia/images/8/8c/Phylactery_icon.png
Diffusal Blade,2500,https://static.wikia.nocookie.net/dota2_gamepedia/images/6/65/Diffusal_Blade_1_icon.png
Echo Sabre,2700,https://static.wikia.nocookie.net/dota2_gamepedia/images/6/6b/Echo_Sabre_icon.png
Mage Slayer,2825,https://static.wikia.nocookie.net/dota2_gamepedia/images/1/18/Mage_Slayer_icon.png
Maelstrom,2950,https://static.wikia.nocookie.net/dota2_gamepedia/images/6/65/Maelstrom_icon.png
Heaven's Halberd,3550,https://static.wikia.nocookie.net/dota2_gamepedia/images/c/c6/Heaven%27s_Halberd_icon.png
Yasha and Kaya,4000,https://static.wikia.nocookie.net/dota2_gamepedia/images/1/19/Yasha_and_Kaya_icon.png
Kaya and Sange,4050,https://static.wikia.nocookie.net/dota2_gamepedia/images/6/67/Kaya_and_Sange_icon.png
Sange and Yasha,4050,https://static.wikia.nocookie.net/dota2_gamepedia/images/b/b4/Sange_and_Yasha_icon.png
Harpoon,4700,https://static.wikia.nocookie.net/dota2_gamepedia/images/3/3c/Harpoon_icon.png
Satanic,5050,https://static.wikia.nocookie.net/dota2_gamepedia/images/d/dd/Satanic_icon.png
Eye of Skadi,5300,https://static.wikia.nocookie.net/dota2_gamepedia/images/1/1e/Eye_of_Skadi_icon.png
Mjollnir,5500,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/9d/Mjollnir_icon.png
Arcane Blink,6800,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/28/Arcane_Blink_icon.png
Overwhelming Blink,6800,https://static.wikia.nocookie.net/dota2_gamepedia/images/6/6d/Overwhelming_Blink_icon.png
Swift Blink,6800,https://static.wikia.nocookie.net/dota2_gamepedia/images/4/47/Swift_Blink_icon.png
Aegis of the Immortal,0,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/20/Aegis_of_the_Immortal_icon.png
Aghanim's Blessing - Roshan,0,https://static.wikia.nocookie.net/dota2_gamepedia/images/4/43/Aghanim%27s_Blessing_-_Roshan_icon.png
Aghanim's Shard - Roshan,0,https://static.wikia.nocookie.net/dota2_gamepedia/images/6/65/Aghanim%27s_Shard_-_Roshan_icon.png
Cheese,0,https://static.wikia.nocookie.net/dota2_gamepedia/images/5/51/Cheese_icon.png
Refresher Shard,0,https://static.wikia.nocookie.net/dota2_gamepedia/images/7/77/Refresher_Shard_icon.png
Roshan's Banner,0,https://static.wikia.nocookie.net/dota2_gamepedia/images/d/d6/Roshan%27s_Banner_icon.png
Block of Cheese,0,https://static.wikia.nocookie.net/dota2_gamepedia/images/4/45/Block_of_Cheese_icon.png
Great Healing Lotus,0,https://static.wikia.nocookie.net/dota2_gamepedia/images/6/6e/Great_Healing_Lotus_icon.png
Greater Healing Lotus,0,https://static.wikia.nocookie.net/dota2_gamepedia/images/4/48/Greater_Healing_Lotus_icon.png
Healing Lotus,0,https://static.wikia.nocookie.net/dota2_gamepedia/images/3/33/Healing_Lotus_icon.png
Elusive Cloak,0,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/95/Unknown_Item_icon.png
Orb of Revelations,0,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/95/Unknown_Item_icon.png
Sorcerer's Staff,0,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/95/Unknown_Item_icon.png
Witches Switch,1900,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/95/Unknown_Item_icon.png
Lunar Crest,2300,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/95/Unknown_Item_icon.png
Eagle Eye,3700,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/90/Assassin%27s_Contract_icon.png
Voidwalker Scythe,3900,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/95/Unknown_Item_icon.png
Samurai Tabi,4500,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/95/Unknown_Item_icon.png
Hermes Sandals,4800,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/95/Unknown_Item_icon.png
Grandmaster's Glaive,4925,https://static.wikia.nocookie.net/dota2_gamepedia/images/9/95/Unknown_Item_icon.png
Bruiser's Maul,6100,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/28/Dimensional_Doorway_icon.png
Banana,0,https://static.wikia.nocookie.net/dota2_gamepedia/images/4/47/Banana_icon.png
Animal Courier,50,https://static.wikia.nocookie.net/dota2_gamepedia/images/1/1c/Animal_Courier_%28Radiant%29_icon.png
Tome of Knowledge,75,https://static.wikia.nocookie.net/dota2_gamepedia/images/f/fc/Tome_of_Knowledge_icon.png
Flying Courier,150,https://static.wikia.nocookie.net/dota2_gamepedia/images/d/d7/Flying_Courier_%28Radiant%29_icon.png
Stout Shield,200,https://static.wikia.nocookie.net/dota2_gamepedia/images/0/01/Stout_Shield_icon.png
Quarterstaff,875,https://static.wikia.nocookie.net/dota2_gamepedia/images/1/13/Quarterstaff_icon.png
Medallion of Courage,1025,https://static.wikia.nocookie.net/dota2_gamepedia/images/d/d9/Medallion_of_Courage_icon.png
Hood of Defiance,1675,https://static.wikia.nocookie.net/dota2_gamepedia/images/a/ad/Hood_of_Defiance_icon.png
Necronomicon,2050,https://static.wikia.nocookie.net/dota2_gamepedia/images/3/30/Necronomicon_1_icon.png
Diffusal Blade 2,3850,https://static.wikia.nocookie.net/dota2_gamepedia/images/5/55/Diffusal_Blade_2_icon.png
Wraith Pact,4050,https://static.wikia.nocookie.net/dota2_gamepedia/images/7/78/Wraith_Pact_icon.png
Potion of Healing,150,https://static.wikia.nocookie.net/dota2_gamepedia/images/e/e4/Potion_of_Healing_icon.png
Potion of Mana,200,https://static.wikia.nocookie.net/dota2_gamepedia/images/f/fd/Potion_of_Mana_icon.png
Staff of Negation,200,https://static.wikia.nocookie.net/dota2_gamepedia/images/3/36/Staff_of_Negation_icon.png
Tome of Retraining,250,https://static.wikia.nocookie.net/dota2_gamepedia/images/7/76/Tome_of_Retraining_icon.png
Vampiric Potion,275,https://static.wikia.nocookie.net/dota2_gamepedia/images/5/57/Vampiric_Potion_icon.png
Useless Item,450,https://static.wikia.nocookie.net/dota2_gamepedia/images/b/b1/Useless_Item_icon.png
Ancient Knowledge Stone,600,https://static.wikia.nocookie.net/dota2_gamepedia/images/e/e3/Ancient_Knowledge_Stone_icon.png
Crystal Eye,750,https://static.wikia.nocookie.net/dota2_gamepedia/images/7/77/Crystal_Ball_icon.png
Spider Queen's Band,750,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/2f/Spider_Queen%27s_Band_icon.png
Bladeturn Necklace,875,https://static.wikia.nocookie.net/dota2_gamepedia/images/c/c6/Bladeturn_Necklace_icon.png
Leather Tunic,950,https://static.wikia.nocookie.net/dota2_gamepedia/images/0/09/Leather_Tunic_icon.png
Wand of Silence,1000,https://static.wikia.nocookie.net/dota2_gamepedia/images/c/c4/Wand_of_Silence_icon.png
Crystalline Sword,1150,https://static.wikia.nocookie.net/dota2_gamepedia/images/6/6b/DotA_Crystalys.png
Holy Armor,1480,https://static.wikia.nocookie.net/dota2_gamepedia/images/f/f7/Holy_Armor_icon.png
Upgrader,1500,https://static.wikia.nocookie.net/dota2_gamepedia/images/0/0c/Upgrader_icon.png
Generator,1700,https://static.wikia.nocookie.net/dota2_gamepedia/images/6/65/DotA_Heart_of_Tarrasque.png
Potent Gem,1850,https://static.wikia.nocookie.net/dota2_gamepedia/images/a/a0/Potent_Gem_icon.png
Precision's Aim,1925,https://static.wikia.nocookie.net/dota2_gamepedia/images/f/fe/Precision%27s_Aim_icon.png
Doom Mantle,1950,https://static.wikia.nocookie.net/dota2_gamepedia/images/8/87/Doom_Mantle_icon.png
Lavabuster,2000,https://static.wikia.nocookie.net/dota2_gamepedia/images/8/82/Bloodfury_icon.png
Mithril Armor,2325,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/2c/Mithril_Armor_icon.png
Speed Rake,2350,https://static.wikia.nocookie.net/dota2_gamepedia/images/5/58/Speed_Rake_icon.png
Shadow Plate,2600,https://static.wikia.nocookie.net/dota2_gamepedia/images/5/55/Shadow_Plate_icon.png
Magi Booster,2615,https://static.wikia.nocookie.net/dota2_gamepedia/images/b/bc/Magi_Booster_icon.png
Assassin's Blade,2650,https://static.wikia.nocookie.net/dota2_gamepedia/images/c/c4/Assassin%27s_Blade_icon.png
Shedd's Cleaver,2650,https://static.wikia.nocookie.net/dota2_gamepedia/images/4/4f/Shedd%27s_Cleaver_icon.png
Guardian Armor,2750,https://static.wikia.nocookie.net/dota2_gamepedia/images/4/41/Guardian_Armor_icon.png
Bloodfury,3250,https://static.wikia.nocookie.net/dota2_gamepedia/images/8/82/Bloodfury_icon.png
Demonic Blade,3575,https://static.wikia.nocookie.net/dota2_gamepedia/images/d/d6/Demonic_Blade_icon.png
Vitra Booster,3665,https://static.wikia.nocookie.net/dota2_gamepedia/images/0/02/Vitra_Booster_icon.png
Wrath of God,3900,https://static.wikia.nocookie.net/dota2_gamepedia/images/8/82/Wrath_of_God_icon.png
Talisman of Spell Shield,5000,https://static.wikia.nocookie.net/dota2_gamepedia/images/7/79/Talisman_of_Spell_Shield_icon.png
Devil's Will,5075,https://static.wikia.nocookie.net/dota2_gamepedia/images/1/12/Devil%27s_Will_icon.png
Razor's Edge,5400,https://static.wikia.nocookie.net/dota2_gamepedia/images/c/c8/Razor%27s_Edge_icon.png
Elven Battlegear,5425,https://static.wikia.nocookie.net/dota2_gamepedia/images/6/6c/Elven_Battlegear_icon.png
